row_id,English,Reference Igbo,source,english_token_count,reference_token_count
23,"He fell on the earth, and heard a voice saying to him, ""Saul, Saul, why do you persecute me?""","Ọ dara n'ala, nụ olu na-akpọ ya oku, ""Sọl, Sọl, gịnị mere i ji na-akpagbu m?""",Bible,26,29
24,He said that INEC can say that they don't have server because there is another office storing data for them but it is not true that they don't have server since they have data. ,O kwuru na Inec nwere ike ikwu na ha enweghị 'server' maka na o nwere ụlọọrụ ọzọ na e jidere ha mkpụrụozi mana ọ bụghị eziokwu na ha enweghị server' ebe e nwere mkpụrụozi.,JHW,39,38
25,"He told Bloomberg South Africa that, “From footage I’ve seen, it most definitely will hit Shoprite hard because it goes beyond lost sales, but also cost of repairs and restoring the damage.”","Ọ gwara Bloomberg nke Ọdịda anyanwụ Afịrịka na site na mmalite ihe nke ọ hụrụla, ọ ga-adakwasi oke ụlọazụmaahịa n'ihi o gafeela ọghọm, ma tinyere ego ịrụkwa na iweghachi ihe mmebi",JHW,40,37
26,"And thus the secrets of his heart are revealed. So he will fall down on his face and worship God, declaring that God is among you indeed.","Mgbe a na-eme ka ihe nzuzo nke obi ha niile pụta ìhè, onye dị otu a ga-egbu ikpere n'ala kpọọ isiala nye Chineke sị, ""N'ezie, Chineke nọ n'etiti unu.""",Bible,30,45
27,It is difficult to take very good care of dreads.,Ọ na-afịahụ ị lekọta isi dada nke ọma,JHW,11,10
28,He also announced that the government will soon complete the installation of streetlights along the road leading from Igbariam junction to Chukwuemeka Odumegwu Ojukwu University within two months.,Ọ makwara ọkwa na gọọmentị ga-emecha nrụnye ọkụ n'okporo ụzọ si ndịda Igbariam ruo mahaduum Chukwuemeka Odumegwu Ojukwu n'ime ọnwa abụọ,JHW,29,27
29,"But when Jacob heard that there was grain in Egypt, he sent out our fathers the first time.","Ma mgbe Jekọb nụrụ na nri ọka dị n'ala Ijipt, o zipụrụ nna nna anyị ha ka ha gaa njem mbụ ha n'Ijipt. Nke a bụ oge nke mbụ ha na-aga Ijipt.",Bible,20,41
30,"So also it is written, ""The first man Adam became a living soul."" The last Adam became a life-giving spirit.","E dere ya, ""Mmadụ mbụ, bụ Adam, ghọrọ mkpụrụobi dị ndụ, Adam nke ikpeazụ bụ mmụọ na-enye ndụ.""",Bible,27,27
31,Neymar's leg dislocation has disqualified him from the next match.,Ụkwụ Neymar rọjiri akụpụla ya n'asọmpi na-abịa ,JHW,13,11
32,"David went from there to Mizpeh of Moab; and he said to the king of Moab, ""Please let my father and my mother come out to you, until I know what God will do for me.""","Devid sitere n'ebe ahụ jee Mizpa dị na Moab rịọọ eze obodo ahụ sị, ""Biko, ị ga-ekwe ka nna m na nne m pụta bịa biri n'etiti unu tutu ruo mgbe m matara ihe Chineke na-aga imere m?""",Bible,42,51
33,"Ahmadu Umaru Fintiri, Governor-Elect of Adamawa State, has survived the first attempt to have his governorship victory taken away from him — just hours after securing it.","Ahmadu Umaru Fintiri, Gọvanọ-ahọpụtara nke steeti Adamawa, gbanarịrị ọnwụnwa mbụ ka e wepụ ya n'ọchịchị gọvanọ ya - naanị mgbe awa ole na ole gachara.",JHW,32,32
34,"We expect another tranche of payment from Government to undertake another critical aspect of the job; this is the design and then full implementation of the project, when the funding must been assessed for full execution of the various jobs.","'Anyị na-atụ anya na ịkwụ ụgwọ ọzọ sitere n'aka gọọmentị ga-arụ ọrụ ọzọ dị oke mkpa; nke a bụ atụmatụ ahụ na mmejupụta ọrụ ahụ n'ụzọ zuru ezu, mgbe a na-enyocha ego ahụ maka mmezu nke ọrụ dị iche iche.",JHW,43,54
35,"So I turned and came down from the mountain, and the mountain was burning with fire. The two tablets of the covenant were in my two hands.","Ya mere, atụgharịrị m malite isi n'ugwu ahụ na-enwu ọkụ rịdata, ejikwa m mbadamba nkume abụọ nke ọgbụgba ndụ ahụ n'aka m.",Bible,30,31
36,"And you, child, will be called a prophet of the Most High; for you will go before the face of the Lord to prepare his ways,","""Ma gị nwa m, a ga-akpọ gị onye amụma nke Onye kachasị ihe niile elu; n'ihi na ị ga-aga n'ihu Onyenwe anyị kwadoro ya ụzọ.",Bible,30,37
37,"and killed mighty kings, for his loving kindness endures forever;","O gbukwara ndị eze dị ike nke ukwuu,",Bible,12,9
38,He also promised to sue them for N30bn in damages.,O kwerekwara nkwa ịkpọpụ ha ụlọ ikpe ka ha kwụọ ijeri naira iri atọ maka ihe mmebi,JHW,11,17
39,"""Go away from here, turn eastward, and hide yourself by the brook Cherith, that is before the Jordan.","""Si n'ebe a pụọ. Soro ụzọ ọwụwa anyanwụ, gaa zoo onwe gị n'akụkụ iyi Kerit, n'akụkụ ọwụwa anyanwụ ya, nke bụ n'ihu Jọdan.",Bible,23,37
40,"saying, ""To you I will give the land of Canaan, the lot of your inheritance,""","""Aga m enye gị ala Kenan dịka oke i ga-eketa.""",Bible,20,15
41,The news that may interest you:,Akụkọ ndị ga-amasị gị:,JHW,7,7
42,"The priest who cleanses him shall set the man who is to be cleansed, and those things, before the LORD, at the door of the Tent of Meeting.","Onye nchụaja ahụ lere ya ahụ sị na ha dị ọcha, ga-ewere aja ndị a, ha na onye ahụ a na-aga ime ka ọ dị ọcha chee n'ihu Onyenwe anyị n'ọnụ ụzọ ụlọ nzute.",Bible,32,45
43,"While he was still talking with them, behold, the messenger came down to him. Then he said, ""Behold, this evil is from the LORD. Why should I wait for the LORD any longer?""","Mgbe Ịlaisha nọ na-agwa ha okwu, lee onyeozi ahụ ka ọ na-abịakwute ya. Eze sokwa ya n'azụ na-ekwu okwu na-asị, ""Onyenwe anyị emeela ka ihe ọjọọ dị otu a dakwasị anyị. Gịnị mere m ga-eji lee anya inyeaka site n'aka Onyenwe anyị ọzọ?""",Bible,42,64
44,"in beatings, in imprisonments, in riots, in labors, in watchings, in fastings,","A na-eti anyị ihe otiti ọtụtụ mgbe. E tinyekwala anyị n'ime ụlọ mkpọrọ dị iche iche. Ọtụtụ mgbe ka igwe mmadụ tikwara anyị ihe otiti. Anyị na-adọgbu onwe anyị n'ọrụ. Ọtụtụ abalị anyị nọkwara n'ime ịmụ anya na-erighị nri,",Bible,18,56
45,"For he has said, 'It profits a man nothing that he should delight himself with God.'","N'ihi na ọ na-asị, 'Ọ dịghị uru dị ya na mmadụ na-achọ ime ihe na-atọ Chineke ụtọ.'",Bible,20,29
46,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.","Ya mere, Chineke mere mbara, kewapụ mmiri dị n'okpuru mbara ahụ site na mmiri nke dị n'elu mbara ahụ. O sikwa otu a dịrị.",Bible,28,32
47,"You asked, 'Who is this who hides counsel without knowledge?' therefore I have uttered that which I didn't understand, things too wonderful for me, which I didn't know.","Ị jụrụ sị, 'Onye bụ onye nke a ji okwu ihe ọmụma na-adịghị na ya na-eme ka atụmatụ m ghara ịpụta ihe?' N'ezie, ekwuru m banyere ihe ndị m na-aghọtaghị, ihe ndị dị oke ebube karịa m ịmata.",Bible,39,53
48,"In a statement, the club said, “Southampton Football Club’s first-team players and coaching staff have announced they will be donating their wages from last Friday to Saints Foundation.","N'okwu, otu ahụ kwuru, ""Ndị otu egwu bọọlụ mbụ na ndị nzuki nke Southampton amaala ọkwa na ha ga-atụ ego ọrụ ha site na Fụraịde gara aga nye ndị Saints Foundation.",JHW,36,39
49,"Anambra Attorney-General and Commissioner for Justice, Dr Uju Nwogu commended the president for her support at ensuring the success of the event.","Onyeisi Ikpe nke Anambra na Kọmishọna nke Ikpe, Dr. Uju Nwogu jara onyeisi ike n'ihi nkwado ya n'ịhụ na emume ahụ gara nke ọma",JHW,26,30
50,The women who are in a hurry to bear children visit him to give them children,Ụmụnwaanyị ndị ihe dị ọsịsọ na-achọ imụ nwa na-agakwuru ya ka o nye ha nwa.,JHW,16,20
51,"and some of the priests' sons with trumpets: Zechariah the son of Jonathan, the son of Shemaiah, the son of Mattaniah, the son of Micaiah, the son of Zaccur, the son of Asaph;","na ndị nchụaja ndị a ndị na-afụ opi, tinyere Zekaraya nwa Jonatan, nwa Shemaya. Ndị bụ nna nna Zekaraya bụ Matanaya, Mikaya na Zakua, ndị ikwu Asaf.",Bible,41,35
52,We hear of all the various attacks both on individuals and companies alike.,Anyị na-anụ maka ọtụtụ mwakpo ma na ndị mmadụ ma n' ụlọ ọrụ.,JHW,14,17
53,"According to him, soil scientists play the same role as doctors do, and if the soil is not properly treated, it will not support the production of crops and it will not allow it produce good yield.","Dịka o si kwuo, ndị sayensị na-arụkwa otu ọrụ ahụ ndị dọkịta na-arụ, ọ bụrụ na agwọghị ala nke ọma, ọ gaghị akwado iwepụta ihe ọkụkụ, ọ gaghịkwa ekwe ka ọ mịa ezi mkpụrụ.",JHW,41,43
54,"""I have overthrown some of you, as when God overthrew Sodom and Gomorrah, and you were like a burning stick plucked out of the fire; yet you haven't returned to me,"" says the LORD.","""Akwaturu m ụfọdụ n'ime unu dịka mgbe Chineke kwaturu Sọdọm na Gọmọra. Unu dịka ọlọkọ nkụ ọkụ alọpụtara site n'ọkụ, ma unu alọghachikwuteghị m,"" otu a ka Onyenwe anyị kwubiri.",Bible,43,40
55,"It will happen in that day that I will make Jerusalem a burdensome stone for all the peoples. All who burden themselves with it will be severely wounded, and all the nations of the earth will be gathered together against it.","N'ụbọchị ahụ, mgbe mba niile nke ụwa chịkọtara onwe ha ọnụ imegide ya, aga m eme Jerusalem ka ọ ghọọrọ mba ndị ahụ niile nkume dị ukwuu nke a na-apụghị inugharị enugharị. Ndị niile ga-agbalị inugharị ya ga-emerụ onwe ha ahụ.",Bible,44,53
56,"Our courts have been sending petty thieves to jail every day. So, it’s not a case of the judicial system. Rather, it is a case of corrupt judges, Attorney-General, and others bribed to stupor that they turn a blind eye.","Ụlọikpe anyị na-ezigarịị ndị zuru obere ohi n'ụlọ mkpọrọ kwa ụbọchị. Ya mere, ọ bụghị okwu usoro ụlọikpe, kama, ọ bụ okwu maka ndị Ọkaikpe mpụ, Onyeisi ikpe, na ndị ọzọ ririla ngarị ma gba nkịtị",JHW,51,46
57,Oke-Osanyintolu said that not less than five distressed buildings in the state had been demolished.,Oke-Osanyintolu kwuru na ihe erughi ụlọ ise adịghị mma na steeti ahụ bụ nke a kwaturu.,JHW,18,19
58,"What you know, I know also. I am not inferior to you.",Mụ onwe m makwa ihe unu maara; abụghị m onye dị ala n'ebe unu nọ.,Bible,15,19
59,There are Chief Lecturers.,E nwere ndi isi nkụzi mahadum.,JHW,5,7
60,"Abraham said, ""Because I thought, 'Surely the fear of God is not in this place. They will kill me for my wife's sake.'","Ebraham zara ya, ""N'ihi na asịrị m n'obi m, 'N'ezie, ịtụ egwu Chineke adịghị n'ebe a. Ha ga-egbu m n'ihi nwunye m.'",Bible,32,42
61,See how people remember kids today,Lee etu ndị mmadụ si cheta ụmụaka taa,JHW,6,8
62,"The citizens' clarion call that the Department of State Services should be scrapped forthwith by the act of National Assembly and its operatives from top to bottom debriefed; re-educated, even rusticated or redistributed to other minimally functional paramilitary institutions like the Nigeria Police Force will no doubt heals the nation of the wounds from the vested madness and brutality the secret service has visited on the failed state called Nigeria.","Ọkpụkpọ oku nke ndị mmadụ ka ngalaba nke ndị ọrụ steeti bụrụ nke ewepụrụ site n'emume nke ndị Omebe iwu na ụzọ ozi site n'ukwu rue na nta, kụzigharịa, kegharịa ha n'otu ndị osote ndị agha dịka Ndị Uwe Ojii nke Naịjirịa enweghị ike ịgwọ ọnya nke mba a site n'ara na mmekpa ahụ nke ndị ozi nzuzo weterela nye steeti darala ada bụ Naịjirịa",JHW,76,75
63,"Well, he didn’t, or ever intended to try. And now, that the hiding is over, it is clear where the Nigeria story is going.Now we have that out of the way, all that is left is an apology to PDP, no literacy skills needed.","Ọ dị mma, ọ meghị ma ọbụ chọọ ime ya. Ma ugbua, ozuzo ahụ ebiela, o doola anya ebe akụkọ Naịjirịa na-aga. Ugbua, ha ewezụgala nke ahụ n'ụzọ, ma nke fọdụrụ bụ ịrịọ ndị PDP mgbaghara, nke a achọghịkwa ọgụgụ isi akwụkwọ",JHW,56,54
64,"Observe the month of Abib, and keep the Passover to the LORD your God; for in the month of Abib the LORD your God brought you out of Egypt by night.","Debe ọnwa Abib iche maka ime Mmemme Ngabiga Onyenwe anyị Chineke gị, n'ihi na ọ bụ n'ọnwa Abib ka Onyenwe anyị Chineke gị mere ka i si n'ala Ijipt pụta n'abalị.",Bible,34,41
65,"For he had dominion over all on this side of the River, from Tiphsah even to Gaza, over all the kings on this side of the River; and he had peace on all sides around him.","N'ihi na ọ chịrị alaeze niile a ruo n'akụkụ ọdịda anyanwụ nke osimiri Yufretis, site na Tifsa ruo na Gaza. O nwekwara udo n'akụkụ niile.",Bible,40,34
66,"""Hear, my people, and I will speak. Israel, I will testify against you. I am God, your God.","""Nụrụnụ, ndị m, m ga-ekwukwa, Izrel, aga m agba ama megide unu, Abụ m Chineke, Chineke unu.",Bible,26,27
67,Ọkọugbo Jerry Oduma showed BBC Igbo how rice is produced.,Ọkọugbo Jerry Oduma gosiri BBC Igbo etu e si ewepụta ya bụ osikapa.,JHW,11,14
68,"Gather its pieces into it, even every good piece: the thigh and the shoulder. Fill it with the choice bones.","Tinyenụ anụ a bọrọ abọ n'ime ya. Tinye anụ dị mma, apata ya na aka ya. Tinyekwa ọkpụkpụ ndị ahụ dị mma n'ime ya.",Bible,24,32
69,My wife was sacked when Nigeria had a dispute with MTN that it affected her work place.,Achụrụ nwunye m na ọrụ mgbe Naịjirịa na ndị MTN nwere nsogbụ ọ were metụta ebe o na aru ọrụ.,JHW,18,21
70,"I will meditate on the glorious majesty of your honor, on your wondrous works.","Ha ga-ekwupụta ihe banyere ịdị ebube nke ịma mma gị, aga m atụgharịkwa uche n'ọrụ ebube gị niile.",Bible,16,24
71,"Leaving the multitude, they took him with them, even as he was, in the boat. Other small boats were also with him.","Ha hapụrụ igwe mmadụ ahụ ma kpọrọ ya, otu ọ dị, ya na ha banyere n'ime ụgbọ. Ụgbọ ndị ọzọ dịkwa na-eso ya.",Bible,27,31
72,"For so has the Lord commanded us, saying, 'I have set you as a light for the Gentiles, that you should bring salvation to the uttermost parts of the earth.'""","N'ihi na nke a bụ ihe Onyenwe anyị nyere anyị n'iwu, "" 'Emeela m ka unu bụrụ ìhè nye ndị mba ọzọ, ka ị nwee ike weruo nzọpụta n'ebe niile ụwa sọtụrụ.'""",Bible,37,44
73,"There was also a man who prophesied in the LORD's name, Uriah the son of Shemaiah of Kiriath Jearim; and he prophesied against this city and against this land according to all the words of Jeremiah.","(Ụraya nwa Shemaya, onye si Kiriat Jearim pụta, bụkwa onye ọzọ buru amụma site n'aha Onyenwe anyị. Amụma o buru megide obodo a na ala a bụkwa ụdị amụma nke Jeremaya na-ebu.",Bible,41,41
74,"Why do you cry over your injury? Your pain is incurable. For the greatness of your iniquity, because your sins have increased, I have done these things to you.","Gịnị mere i ji na-akwa akwa n'ihi ọnya dị gị n'ahụ? Gịnị mere i ji na-akwa akwa n'ihi ihe mgbu nke na-enweghị ọgwụgwọ? Emere m ka ihe ndị a bịakwasị gị n'ihi ịba ụba nke ajọ omume gị, na n'ihi ọtụtụ mmehie gị.",Bible,34,63
75,"Immediately his ears were opened, and the impediment of his tongue was released, and he spoke clearly.","Ngwangwa, ntị ya meghere, a tọpụkwara ire ya, ọ malite ikwu okwu nke ọma.",Bible,20,18
76,People were talking about how Lionel Messi was defeated in America world cup 2019,Ndị nso kpụ Lionel Messi n'ọnụ maka ọdịda ha na COPA America 2019,JHW,14,15
77,"saying, 'Go to this people and say, in hearing, you will hear, but will in no way understand. In seeing, you will see, but will in no way perceive.",""" 'Jekwuru ndị a gwa ha okwu, ""Unu ga na-anụ, nụkwa, ma unu agaghị aghọta ihe ọbụla, unu ga na-ele anya, hụkwa, ma unu agaghị ahụ ihe ọbụla.""",Bible,38,42
78,"Nzekwu said this at Revenue House, Awka shortly before he led the entire staff of AIRS through a road show to commence the 2020 Anambra Tax Awareness Week.","Nzekwu kwuru nke a na ụlọ ọrụ Revenue, Awka obere oge tupu ya eduru ndị ọrụ AIRS dum na njem ihe ngosi iji bido n'izu Ọchịchị Anambra nke 2020.",JHW,30,33
79,"Many will tell me in that day, 'Lord, Lord, didn't we prophesy in your name, in your name cast out demons, and in your name do many mighty works?'","N'ụbọchị ahụ, ọtụtụ ndị mmadụ ga-asị m, 'Onyenwe anyị, Onyenwe anyị, ọ bụ na anyị ejighị aha gị buo amụma, jiri aha gị chụpụ mmụọ ọjọọ, ma jirikwa aha gị ruo ọtụtụ ọrụ ebube?'",Bible,39,47
80,"Joshua said to the people, ""You are witnesses against yourselves that you have chosen the LORD yourselves, to serve him."" They said, ""We are witnesses.""","Mgbe ahụ, Joshua sịrị, ""Unu bụ ndị ama megide onwe unu na unu ahọrọla ife Onyenwe anyị ofufe."" Ha zara sị, ""E, anyị bụ ndị akaebe.""",Bible,34,36
81,He will be reading this post so I have decided to grant him the anonymous identity as his view remain myopic in my own opinion.,"Ọ gana agụ ihe ederede a, ya mere m agaghị kpọ aha ya ebe uche ọhụhụ ụzọ adabaghị adaba na nkwenye nke m",JHW,26,24
82,"Moses took some of the anointing oil, and some of the blood which was on the altar, and sprinkled it on Aaron, on his garments, and on his sons, and on his sons' garments with him, and sanctified Aaron, his garments, and his sons, and his sons' garments with him.","Mgbe ahụ, Mosis weere ụfọdụ n'ime mmanụ nsọ ahụ, na ụfọdụ n'ime ọbara ahụ dị n'ebe ịchụ aja fesa ya Erọn na uwe ya, fesakwa ya ụmụ ndị ikom Erọn n'uwe ha. Otu a ka o si doo Erọn na uwe ya, na ụmụ ya ndị ikom na uwe ha nsọ.",Bible,62,65
83,"Therefore God also highly exalted him, and gave to him the name which is above every name,","Ọ bụ n'ihi nke a ka Chineke ji bulie ya elu n'ebe kachasị elu, nyekwa ya aha kachasị aha niile elu.",Bible,19,27
84,"Jonathan, Saul's son, arose and went to David into the woods, and strengthened his hand in God.","Jonatan, nwa Sọl pụrụ ịchọ Devid. Mgbe ọ hụrụ ya na Horesh, ọ gbara ya ume, nyere ya aka iguzosi ike n'ime Chineke.",Bible,23,30
85,Nafdac are working with the discoveries and findings of BBC news.,Nafdac na-eme nyocha ndịa maka nchọpụta BBC mere gbasara ọgwụ ahụ,JHW,12,13
86,"Secondly, if you saw the house where Olamilekan was interviewed, you will understand his roots — his life and his story.","Nke abụọ, ị hụ ụlọ ebe anọrọ gbaa Olamilekan ajụjụ ọnụ, ị ga-aghọta mgbọrọgwụ ya-ndụ ya na akụkọ ya",JHW,24,25
87,AFCON 2019 Qualifiers: Is Ighalo due to be forgiven for what happened in the 2018 world cup?,AFCON 2019 Qualifiers: Oge o ruola ịgbaghara Ighalo maka ihe mere n'Iko Mbaụwa 2018?,JHW,19,18
88,It was revealed that Garba had expressed doubt in the ability of the young lad to break into the team.,E kpughere na Garba kwupụtara obi abụọ banyere ikike nwata nwoke nwere ịbanye n'òtù ahụ.,JHW,21,18
89,The power holding company is among the properties to be sold,Ngalaba ọkụ latrik so na ndị a ga-etinye n'ahịa,JHW,11,13
90,She was born in 2000,A mụrụ ya n'afọ 2000.,JHW,5,8
91,"You probably know who I am talking about. The Teflon President with nine lives I have in mind is nobody else but Donald J. Trump. Can any of you reading this write-up imagine Barack Obama, who twice won the popular vote and the Electoral College tallies and who spent 8 good years in the White House without a single scandal, being described as a cat with 9 lives?","Elelghị anya, Ị matara onye m na-ekwu maka ya. Onyeisi ala Teflon nke nwere ndụ iteghete m bu n'obi abụghị onye ọzọ ma ewepụ Donald J. Trump. Ọ nwere onye ọbụla n'ime unu na-agụ ihe ederede a ga-echeta Barack Obama, onye nwetara mmeri ugboro abụọ ma nọọ afọ asatọ n'Ụlọ Ọcha na-enweghị okwu mpụ ọbụla, ka ana akọwa dịka nwamba nwere ndụ iteghete?",JHW,76,84
92,"Like snow in summer, and as rain in harvest, so honor is not fitting for a fool.",Ịhụ onye nzuzu a na-enye nsọpụrụ dịka ịhụ mkpụrụ mmiri ka ọ na-ada n'oge ọkọchị maọbụ mmiri na-ezo n'oge owuwe ihe ubi.,Bible,20,33
93,For the LORD of Armies says: 'For honor he has sent me to the nations which plundered you; for he who touches you touches the apple of his eye.,"N'ihi na otu a ka Onyenwe anyị, Onye pụrụ ime ihe niile kwuru, ""Mgbe Onye ahụ dị ebube zipụrụ m ịga megide mba ndị ahụ niile kwakọọrọ ihe unu. N'ihi na onye ọbụla metụrụ unu aka bụ mkpụrụ anya m ka ọ na-emetụ aka.",Bible,33,55
94,News reaching us now said that Jim Iyke was captured for slapping an aircraft official.,Akụkọ pụtara ugbua na-ekwu na a nwụchiri Jim Iyke ka ọ machara onye ọrụ ọdọụgbọelu ụra.,JHW,16,19
95,"BBNaija Is Satanic, Says Muslim Group, Urges Christians To Join In Condemning Reality Show","BBNaija bụ ihe ekwensu, onye alakụba na-ekwu, ma na-agba ndị ụka ume isonye na nkatọ a na-akatọ ihe ngosi.",JHW,16,28
96,What you do not know about the bread fruit that you eat,Ihe ị na-amaghị maka ụkwa ị na-eri,JHW,12,11
97,"How best do we describe a beastly secret service or its operatives whose beastiality threatens national cohesion, the nation's constitution and the judiciary, democracy and its majestic ethos?","Kedụ ụzọ kasị mma isi kọwa emume nke nzuzo maọbụ ọrụ ya na-eyija mba, iwu ala na ndị omebe iwu, ọchịchị onye kwuo uche ya na ụzọ omee ya dị mma?",JHW,33,36
98,Follow me on Twitter @ikhide_erasmus1,soro m na ọwaozi Twita @ikhide_erasmus1,JHW,6,7
