English,Reference Igbo,Predicted Igbo
"A man of God came to Eli and said to him, ""The LORD says, 'Did I reveal myself to the house of your father when they were in Egypt in bondage to Pharaoh's house?","Otu onye nke Chineke bịara gwa Elayị okwu sị ya, ""Ihe ndị a ka Onyenwe anyị kwuru: Ọ bụ na m ezipụtaghị ike m n'ụzọ pụtara ihe mgbe nna nna gị ha bụ ohu n'ala Ijipt n'okpuru Fero?","Otu nwoke nke Chineke bịakwutere Ilaị ma gwa ya, sị, "" ONYE Onyenwe anyị, ị̀ sịrị, "" Mụ onwe m ọ̀ gwara ụlọ nna gị mgbe ha nọ n'agbụ Ijipt n'ụlọ Fero?"
"In an emotional message on his Instagram handle on Thursday, Izaak, who is the only child of the soulful singer from her former relationship with reggae music producer, Bob Morgan, expressed gratitude to Adu for sticking by him throughout the process.","N'ozi mmetụta ya n'ịnstagram n'ụbọchị Tọọzụde, Izaak, nke bụ naanị otu nwa nke ọgụ egwu mkpụrụobi site na mmekọrịta ya na onye mmepụta egwu rege, Bob Morgan, gosipụtara obi ekele ya nye Adu maka ịkwụdosi ya ike n'azụ n'oge niile ahụ.","N'ozi mmetụta uche o dere n'akwụkwọ o dere na Thursday, Izaak, onye bụ́ nanị nwa na - agụ egwú mkpụrụ obi site ná mmekọrịta mbụ ya na ndị na - emepụta egwú, bụ́ Bob, kwupụtara ekele o nwere maka ịnọgidesi ike n'akụkụ ya n'oge nile ahụ."
"and not by his coming only, but also by the comfort with which he was comforted in you while he told us of your longing, your mourning, and your zeal for me, so that I rejoiced still more.","Ọ bụkwaghị naanị n'ihi na ọbịbịa ọ bịara nyere anyị obi ụtọ, kama akụkọ o ji bịa, gbasara otu unu si gbaa ya ume, gwakwa anyị otu unu si na-ele anya ịhụ m, na otu unu si na-eru ụjụ n'ihi ihe niile mere, na otu unu si guzosie ike n'ukwu m, na ụdị ịhụnanya unu nwere n'ebe m nọ, obi tọrọ m ụtọ nke ukwuu.","Ọ bụghị nanị na ọ ga - abịa, kamakwa ọ bụ nkasi obi nke kasiri ya obi ka ọ gwara anyị banyere agụụ ị na - agụ, iru újú gị, na ịnụ ọkụ n'obi gị maka m, ka m wee na - aṅụrị ọṅụ."
"But whenever the CBN decides to make this figure public, we should be honest enough to treat it as what it really is by adding it to the figure of Nigeria's external debt.","Mana mgbe ọ bụla CBN kpebiri ime ka ọnụ ọgụgụ a pụta n'ihu ọha, anyị kwesịrị ịkwụwa aka ọtọ iji were ya dị ka ọ bụ n'ezie site na itinye ya na ọnụ ọgụgụ nke mpụga ụgwọ nke Naịjirịa.","Ma, mgbe ọ bụla ndị òtù  ụzọ kacha mma e si agwọ ya, anyị kwesịrị ịna - akwụwa aka ọtọ ka anyị nwee ike ịna - akwụ ụgwọ ndị mmadụ ji anyị."
Tottenham won the game 2-1. Paul ELLIS / AFP.,Tottenham meriri n' egwuregwu ahụ 2-1. Paul ELLIS/AFP.,JOLLS / AFP meriri n'egwuregwu nke 2-1.
Bashir Ahmad said that what the INEC did is not good for Nigerians,Bashir Ahmad kwuru na ihe INEC mere adịghịrị ụmụ Naijirịa mma,ONYE NA - EME nchọpụta kwuru na ihe ndị e mere n'oge ahụ adịghị mma maka ndị na - amaghị nke a na - akọ
"Only Luke is with me. Take Mark and bring him with you, for he is useful to me for service.","Ọ bụ naanị Luk nọnyere m. Mgbe ị na-abịa, kpọta Mak n'ihi na ọ ga-enyere m aka n'ije ozi m.","Ọ bụ nanị Luk nọnyeere m, kpọrọ Mak bịa kpọrọ ya, n'ihi na ọ baara m uru maka ije ozi."
"The next Sabbath, almost the whole city was gathered together to hear the word of God.","N'ụbọchị izuike ọzọ ahụ, ọtụtụ ndị bi n'obodo ahụ pụtara ịnụrụ okwu Onyenwe anyị.","N'Ụbọchị Izu Ike sochirinụ, a chịkọtara ihe fọrọ nke nta ka ọ bụrụ obodo nile ahụ iji nụ okwu Chineke."
"“We become numb, we lose hope, and we subconsciously accept that this is how things are and there's nothing we can say or do to change it.","anyị naz-anọ enweghị enyemaka, olileanya na-efu, anyị na-anabata na ọ bụ etua ka ihe dị n'amaghị ama, ma ọ dịghị ihe anyị pụrụ ikwu ma ọbụ mee iji gbanwee ya","OBI na - ajọ anyị njọ, anyị anaghị enwe olileanya, anyị na - aghọtakwa na ọ bụ otú a ka ihe dị, ọ dịghịkwa ihe anyị pụrụ ikwu ma ọ bụ mee iji gbanwee ya."
I will incline my ear to a proverb. I will solve my riddle on the harp.,"Aga m aṅa ntị nye ilu, aga m e ji ụbọ akwara kọwaa ilu m.",M ga - ege ntị n'otu ilu: M ga - eji ụbọ akwara m dozie ilu m.
All of a sudden there was a market tool which could be used as a lever to control interest rates without having to use any other crude methods.,"Na mberede, enwere ngwa ahịa nke enwere ike iji dị ka onye na-achịkwa iji belata ọnụego ọmụrụ nwa na-ejighị ụzọ ọjọọ ndị ọzọ.","Na mberede, e nwere ngwá ahịa a pụrụ iji mee ihe dị ka ụlọ ahịa iji chịkwaa ọnụ ọgụgụ ndị nwere mmasị n'ejighị usoro ọ bụla ọzọ na - adịghị mma eme ihe."
President Muhammdu Buhari has said that PDP still have a question to answer concerning Nigerian economy they wasted when they were in office.,Onyeisiala Muhammdu Buhari ekwuola na ndị otu PDP ka nwere okwu ịza gbasara mmefu ego mgbe ha nọ n'ọchịchị.,"Onye isi ala nke na-ahụ maka ihe gbasara akụ na ụba na ala Naijiria, kwuru na ọ ka nwere ajụjụ ọ ga - aza banyere ọnọdụ akụ̀ na ụba nke Nigeria ha lara n'iyi mgbe ha nọ n'ọfịs."
"The sons of Merari: Mahli, Libni his son, Shimei his son, Uzzah his son,","Ụmụ ụmụ Merari bụ Mahali, Libni, Shimei, Ụza,","Ụmụ Mri: Mhli, bụ́ onye ndụmọdụ nwa ya nwoke, na - enye ya nwa ya nwoke, bụ́ Tira nwa ya, nwa ya"
For he wounds and binds up. He injures and his hands make whole.,"N'ihi na ọ na-etihịa mmadụ ahụ ma na-ekechikwa ọnya ha; Ọ na-eti mmadụ ihe, ma aka ya na-agwọkwa.","N'ihi na ọ na - emerụ ahụ́, na - ekekwa ihe okike, na - emerụkwa onwe ya ahụ́, na - emekwa ka aka ya nile dị ọcha."
The leader of the International Monetary Fund named Christine Lagarde has called upon federal government to remove the money for fuel subsidy,Onyeisi International Monetary Fund bụ Christine Lagarde akpọọla gọọmenti etiti oku ka ha wepụ ego ha na-agbakwụnye iji hụ na mmanụ ụgbọala ndị ọnụ ala.,"Onyeisi nke Òtù Na - ahụ Maka Ego Mba Nile, nke aha ya bụ Christine Layde, anọwo na - agwa gọọmenti etiti ka o wepụ ego a ga - eji meenwu ọkụ"
China has reversed its decision on the use of tiger parts in both Science and traditional medicine.,Mba China agbanweela mkpebi ya maka iji akụkụ ahu agụ na sayensị nakwa n'ọgwụ ọdịnala,China agbanweela mkpebi ya banyere iji akụkụ ụfọdụ nke agụ iyi eme ihe ma na nkà mmụta sayensị ma n'ịgwọ ọrịa ọdịnala.
There are certain irreducible minimums I can tolerate from people l call my friends.,Onwere ụfọdụ ihe agaghị ebelatanwu m nwere ike inagidere ndị mmadụ m kpọrọ ndị enyi m.,Ndị mmadụ na - akpọ ndị enyi m n'ihi na ha anaghị ekwe m megharịa ahụ́.
"The light of Israel will be for a fire, and his Holy One for a flame; and it will burn and devour his thorns and his briers in one day.","Ìhè nke Izrel, ga-aghọ ọkụ, Onye nsọ ha, ga-aghọkwa ire ọkụ nke ga-ala ihe niile n'iyi. N'otu abalị ka ọ ga-erechapụ ogwu niile na uke niile ọkụ.","Ìhè Izrel ga - abụ maka ọkụ, Onye Nsọ ya ga - agbakwa ọkụ; ọ ga - esurekwa ogwu ya na ihe ndina ya n'otu ụbọchị."
"In this mountain, the LORD of Armies will make all peoples a feast of choice meat, a feast of choice wines, of choice meat full of marrow, of well refined choice wines.","N'elu ugwu a, ka Onyenwe anyị, Onye pụrụ ime ihe niile ga-anọ kwadooro ụwa niile oke oriri. Ọ ga-abụ oke oriri nke ga-adịrị ndị niile. Oke oriri nke ezi anụ na mmanya dị mma ga-adị.","N'ugwu a, ONYEisi Ndị Agha Ga - eme ka mmadụ nile bụrụ oriri nke anụ a pụrụ ịhọrọ, bụ́ oriri nke mmanya ndị a na - ahọrọ, nke anụ a na - ahọrọ ahọpụta nke ọma, nke mmanya ndị a zara nke ọma."
"He who is slow to anger has great understanding, but he who has a quick temper displays folly.","Onye na-enwe ndidi nwere ọtụtụ nghọta, ma onye obi ọkụ na-egosi enweghị uche ya.","Onye na - adịghị ewe iwe ọsọ ọsọ nwere nghọta dị ukwuu, ma onye na - ewe iwe ọkụ na - egosipụta nzuzu."
"After the usual pleasantries, he respectfully 'complained' that my article ended abruptly, that he had expected me to answer or begin to answer the questions I posed .","Mgbe ọ masịrị ya, ọ jiri nkwanye ugwu 'kọchaa' na edemede m gwụrụ na-akụghị ekwe, na ọ tụrụ anya na m ga-aza ma ọ bụ malite ịza ajụjụ ndị m jụrụ.","Mgbe a gbasara akwụkwọ ahụ, o ji nkwanye ùgwù kwuo na isiokwu m na - amụ gwụrụ, na ọ tụrụ anya na ọ ga - aza m ajụjụ ndị m jụrụ ya ma ọ bụ malite ịza ha."
Wole soyinka: I will not vote for APC or PDP.,Wole Soyinka: Agaghị m atụnyere APC maọbụ PDP,Ọ bụ ya mere na agaghị m ekwu ka e nye m ọgwụ ga - eme ka m kwụsị ịṅụ ọgwụ ike ma ọ bụ ịgba karat.
"All that Samuel the seer, Saul the son of Kish, Abner the son of Ner, and Joab the son of Zeruiah had dedicated, whoever had dedicated anything, it was under the hand of Shelomoth and of his brothers.","Ya na ihe niile nke Samuel, bụ onye ọhụ ụzọ, na Sọl, nwa Kish na Abna, nwa Nea na Joab, nwa Zeruaya na ihe niile ndị ọzọ e doro nsọ. Ọ bụ n'aka Shelomit na ụmụnna ya ka ọ dị ilekọta ha.","Nanị ihe Samuel onye na - ahụ ụzọ, bụ́ Sọl, nwa Kaish, bụ́ Jisọs, nwa Ner, na Joab nwa Ner, bụ́ onye ọ bụla nke raara onwe ya nye, nọ n'okpuru aka ụmụnne ya."
"He said the Xenophobic attacks are triggered by high unemployment and high crime rates, and not because all South African hated Nigerians.","O kwuru na agha akpọmasị bụ oke enweghị ọrụ na nnukwu mpụ butere, Ọ bụghị na ndị Ọdịda anyanwụ Afịrịka niile kpọrọ ndị Naịjirịa asị","O kwuru na ọ bụ enweghị ọrụ dị ukwuu na ọ̀tụ̀tụ̀ mpụ dị elu na - akpata mwakpo ahụ dị egwu, ọ bụghịkwa n'ihi na mba nile dị na South Africa kpọrọ òtù ndọrọ ndọrọ ọchịchị asị."
"This also will be my salvation, that a godless man will not come before him.","N'ezie, nke a ga-aghọrọ m nzọpụta maka na ọ dịghị onye ajọ omume ọbụla pụrụ ịbịa n'ihu ya.","Nke a ga - abụkwa nzọpụta m, na onye na - adịghị asọpụrụ Chineke agaghị abịa n'ihu ya."
"According to him, soil scientists play the same role as doctors do, and if the soil is not properly treated, it will not support the production of crops and it will not allow it produce good yield.","Dịka o si kwuo, ndị sayensị na-arụkwa otu ọrụ ahụ ndị dọkịta na-arụ, ọ bụrụ na agwọghị ala nke ọma, ọ gaghị akwado iwepụta ihe ọkụkụ, ọ gaghịkwa ekwe ka ọ mịa ezi mkpụrụ.","Dị ka o si kwuo, ndị ọkà mmụta sayensị nọ n'ala na - arụ otu ọrụ ahụ ndị dọkịta na - arụ, ọ bụrụkwa na e jighị ájá mee ihe n'ụzọ kwesịrị ekwesị, ọ gaghị akwado mmepụta nke ihe ọkụkụ, ọ gaghịkwa ekwe ka ọ na - arụpụta ihe dị mma."
"""Arise and take the young child and his mother, and go into the land of Israel, for those who sought the young child's life are dead.""","sị ya, ""Bilie, kpọrọ nwantakịrị ahụ na nne ya laghachi n'ala Izrel n'ihi na ndị na-achọ igbu ya anwụọla.""",""" Ị ga - akpọrọ nwatakịrị ahụ na nne ya banye n'ala Izrel, n'ihi na ndị na - achọ ndụ nwatakịrị ahụ anwụọla...."
l am not involved!,Aka m adịghị ya!,Ọ bụghị iwu na ị ga - aṅụ ya!
"They were all astonished at the majesty of God. But while all were marveling at all the things which Jesus did, he said to his disciples,","Ebube ukwu nke Chineke tụrụ ha n'anya. Ma mgbe onye ọbụla nọ na mgbagwoju anya n'ihi ọrụ ọ rụrụ, ọ sịrị ndị na-eso ụzọ ya,","Ịdị ukwuu Chineke tụrụ ha nile n'anya, ma ka ha nile nọ na - atụ ihe nile Jisọs mere, ọ gwara ndị na - eso ụzọ ya, n'anya."
He who becomes the father of a fool grieves. The father of a fool has no joy.,Ọ bụ naanị iru ụjụ na obi ọjọọ dịịrị nna nke nwa ya na-eme ihe nzuzu.,Onye na - aghọ nna nke onye nzuzu na - eru újú: nna onye nzuzu adịghị enwe ọṅụ.
"I will open rivers on the bare heights, and springs in the middle of the valleys. I will make the wilderness a pool of water, and the dry land springs of water.","Aga m eme ka mmiri site n'ala kpọrọ nkụ nke ugwu niile na-erudatara ha. Aga m eme ka isi iyi na-asọpụta na ndagwurugwu niile. Aga m eme ka mmiri jupụta n'ọzara, meekwa ka isi iyi mmiri site n'ala kpọrọ nkụ na-asọpụta.","M ga - emeghe osimiri ndị dị n'ebe dị elu, isi iyi ndị dị n'etiti ndagwurugwu nile: M ga - eme ka ọzara ghọọ ọdọ mmiri, na iyi mmiri nile kpọrọ nkụ."
"An Army officer currently hospitalized lamented that “soldiers have become cannon fodders,” revealing:""There are more soldiers deserting their commission over Boko Haram war. I can count dozens in my unit alone that escaped after they survived an attack.” The Nigerian Police Force are embroiled in similar matter with 121 officers of the rank-and-file who reportedly deserted in protest against planned deployment to the warfront dismissed with immediate effect.",Onye agha nke nọ n'ụlọọgwụ kwara arịrị na ndị agha abụrụla ndị efu. O kwuru na ọtụtụ ndị agha eriela mbọmbọ n'ọrụ ha n'ihi ndị Boko Haram. Aga m agụ ọtụtụ ndị ririla mbọmbọ site n'ọgbọ nke m kamgbe ha zonarịrị mwakpo. Ndị uweojii na-ahụ otu ihe ahụ nke na ndị ọrụ otu narị na iriabụọ na otu eriela mbọmbọ ka ha nụrụ na ewegala ha n'ihu ọgụ.,"Otu onye agha nọ n'ụlọ ọgwụ ugbu a kwara arịrị na ndị agha na-eme ngagharị iwe aghọwo ndị na-eme ngagharị iwe, ndị na-eme mkpesa, sị: ""E nwere ọtụtụ ndị agha ọzọ ka ha na-ahụ maka agha Boko Haam. Apụrụ m ịgụta ọnụ n'ime òtù m nanị na ha lanarịrị mgbe ha wakposịrị mwakpo. Ndị uwe ojii Naijiria"
"To Joseph in the land of Egypt were born Manasseh and Ephraim, whom Asenath, the daughter of Potiphera, priest of On, bore to him.","N'ala Ijipt, a mụụrụ Josef Manase na Ifrem, site na nwunye ya Asenat nwa nwanyị Pọtifera, onye nchụaja nke On.","A mụrụ Josef n'ala Ijipt, bụ́ Manase na Ifrem, bụ́ ndị Belnath, bụ́ nwa Kalarara, bụ́ onye nchụàjà nke Oni, mụrụ ya."
"David took more concubines and wives for himself out of Jerusalem, after he had come from Hebron; and more sons and daughters were born to David.","Mgbe Devid sitere na Hebrọn kwabata na Jerusalem; ọ lụrụ ndị inyom ọzọ, nwetakwara onwe ya ọtụtụ ndị iko nwanyị. Ọ mụtakwara ọtụtụ ụmụ nwoke na ụmụ nwanyị.","Devid kpọọrọ ndị iko nwanyị na ndị nwunye ya si Jeruselem pụta, mgbe o sikwa Hibrọn bịa; a mụkwaara Devid ụmụ ndị ikom na ụmụ ndị inyom karị."
"Don't rejoice against me, my enemy. When I fall, I will arise. When I sit in darkness, the LORD will be a light to me.","Achịkwala m ọchị gị onye iro m. Mgbe m dara, aga m ebilitekwa. Mgbe m nọ n'ime ọchịchịrị, Onyenwe anyị n'onwe ya ga-abụ ihe m.","Mgbe m dara, m ga - ebili: mgbe m nọ n'ọchịchịrị, Onyenwe anyị ga - abụrụ m ìhè."
"Indeed your statutes are my delight, and my counselors. DALETH",Ụkpụrụ gị niile bụ ihe na-amasị m; ha bụ ndị ndụmọdụ m.,"N'ezie, ụkpụrụ gị na - atọ m ụtọ, ọ na - atọkwa m ụtọ."
"More suspicious was the security guard, who suggested I use a wall with some flower pots for the photo as opposed to standing by the entrance which had the name of the establishment carved into it.",Na njedebe,"Nke ka njọ bụ onye nche ahụ, bụ́ onye tụrụ aro ka m jiri ite ájá e ji okooko osisi mee see mee ihe maka foto ahụ mee ihe n'ụzọ megidere iguzo n'ọnụ ụzọ e si abanye n'ime ya."
"Elkanah, Isshiah, Azarel, Joezer, and Jashobeam, the Korahites;","Elkena, Ishaya, Azarel, Joeza na Jashobeam, ndị Kora;","Elkena, Isshia, Azarel, Joe Harana, na Jasrabam, ndị Kora;"
"Speaking at the event, which was sponsored by the National Centre for Petroleum Research and Development (NCPRD), Energy Commission of Nigeria in collaboration with the NNPC, Nigerian Geological Survey Agency and the Abubakar Tafawa Balewa University, Bauchi, Group Managing Director of NNPC, Mele Kyari, said there was need to intensify collaboration to achieve desired outcomes in the ongoing exploration activities in the frontier basins.","Mgbe ọ na-ekwu okwu na ihe omume a, nke ngalaba na-ahụ maka nyocha mmanụ na uto (NCPRD), otu ike nke Naịjirịa na nkwado ya na NNPC, otu na-enyocha ihe dị na gburugburu ụwa nke Naịjirịa na Mahadum Abubakar Tafawa Balewa, Bauchi, Onye Nchịkwa Ọchịchị nke NNPC, Mele Kyari, kwuru na ọ dị mkpa itinyekwu aka na mmekorita iji mepụta nsonaazụ ndị achọrọ na ọrụ nyocha na-aga n'ihu.","N'ikwu okwu n'ihe omume ahụ, nke Ụlọ Ọrụ Gọọmenti Etiti Na - ahụ Maka Nnyocha na Development (NCCCD), Onye Nlekọta nke Naijiria na Ụlọ Ọrụ Nkà Mmụta Nkà Mmụta Sayensị nke Naijiria nakwa Ụlọ Ọrụ Na - ahụ Maka Mmekọrịta Ọha Mmadụ na Mahadum Bawananananana, Bala, Báchi, kwuru na ọ dị mkpa inwewanye ọganihu n"
"for the precious things of the fruits of the sun, for the precious things that the moon can yield,","na ihe ọma niile anyanwụ na-eweta, na ihe ọma niile ọnwa na-ewepụta,","Maka ihe ndị dị oké ọnụ ahịa nke mkpụrụ nke anyanwụ, n'ihi na ihe ndị dị oké ọnụ ahịa ọnwa pụrụ ịrụpụta,"
"His servant said, ""What, should I set this before a hundred men?"" But he said, ""Give it to the people, that they may eat; for the LORD says, 'They will eat, and will have some left over.'""","Onye na-ejere ya ozi jụrụ, ""Olee otu m ga-esi chee ihe a n'ihu narị mmadụ?"" Ma Ịlaisha zara, ""Chịrị ya nye ndị mmadụ a ka ha rie, n'ihi na otu a ka Onyenwe anyị kwuru, 'Ha ga-eriju afọ ha, nwekwa ndị ga-afọdụkwa.' ""","Ohu ya kwuru, sị: ""Gịnị ka m ga - ekwu n'ihu otu narị ndị ikom?, ma, ọ sịrị, "" Nye ya ndị mmadụ, ka ha wee rie; n'ihi na ohu Jehova sịrị, Ha ga - eri, ụfọdụ ga - ahapụkwa ya. '"
He promised that government would accelerate action on the file to ensure that the former players were paid.,O kwere nkwa na gọọmenti ga-eme ngwa ngwa na faịlị ahụ iji hụ na a kwụrụ ndị a gbagburu bọọlụ ụgwọ. ,O kwere nkwa na gọọmenti ga - eme ka faịlụ ahụ dị mfe iji hụ na a kwụrụ ndị bụbu ndị egwuregwu ụgwọ.
forbidden acts for Igbo women,Ihe Igbo sọrọ nwaanyị ime,Mmachibido iwu maka ụmụ nwanyị Igbo
"Samuel told him every bit, and hid nothing from him. He said, ""It is the LORD. Let him do what seems good to him.""","Ya mere, Samuel gwara ya ihe niile, o zokwaghị ihe ọbụla. Mgbe ahụ Elayị kwuru okwu sị, ""Ya onwe ya bụ Onyenwe anyị, ya meekwa dịka o si dị ya mma n'anya.""","Samuel gwara ya ihe niile, zoo ya n'ebe ọ nọ, sị, ""Onyenwe anyị, biko, mee ya ihe dị mma...."
"Today, on our 30th Wedding Anniversary, I pray for Allahâs continued peace and blessings in our home and family.","Taa, alụmdi na nwunye anyị gbara afọ 30, a na m ekpe ka udo na ngọzi nke Chukwu ga n'ihu na ezinụlọ anyị .","Taa, mgbe anyị na - agba akwụkwọ ugboro iri atọ n'ụbọchị agbamakwụkwọ anyị, ana m ekpe ekpere maka ndị na - agba akwụkwọ, bụ́ ndị na - eme ka ahụ́ ruo ndị mmadụ ala, na - agọzikwa ụlọ anyị na ezinụlọ anyị."
"So Nebuzaradan the captain of the guard, Nebushazban, Rabsaris, and Nergal Sharezer, Rabmag, and all the chief officers of the king of Babylon","Ya mere, Nebuzaradan, ọchịagha ndị nche eze, na Nebushazban, onyeisi n'etiti ndịisi, na Negal-Shareza, bụ onyeisi ọkwa ya dị elu, na ndịisi ndị ọzọ niile nke eze Babilọn,","Ọ bụ ya mere otu onyeisi ndị nche aha ya bụ Nbudadan, Nihananan, Ras, na Nererrate, Rabgya, na ndị isi niile nke eze Babịlọn ji arụ ọrụ"
Cocoa is good for the nerves and also ,Koko na-adị mma maka akwara-ozi ma na-edozi kwa mkpụrụ-ndụ.,"Ọgwụ ụra na - eme ka ahụ́ ghara ịna - ama gị jijiji, na - emekwa ka ahụ́ gị na - ama gị jijiji"
"those accused of master minding the incident are Onyebuchi Mbanefo, 46,chukwudi Ugwu,30, ang Great Chinedu Akpunonu, 44,","Ndị eboro ebubo na ọ bụ ha kpara nkata ghọrọ ngịga n'okwu mkpamkpa ahụ mere bụ: Onyebuchi Mbanefo, 46, Chukwudi Ugwu, 30 na Great Chinedu Akpunonu, 44","Ndị e boro ebubo na ha na - atụkwasị ihe omume ahụ obi bụ Onyechi Mbruu, 46, ihe dị ka narị puku mmadụ anọ na iri anọ, narị atọ na iri atọ, otu nnukwu onye na - ede uri, bụ́ onye na - amụ banyere ihe ndị mgbe ochie na iri afọ anọ na anọ."
Ekweremadu went on to say that nobody is secured in Nigeria.,Ekweremadu gakwara n'ihu kwuo na onweghi onye nwere nchekwa n'obodo Naịjirịa.,Ekmao gara n'ihu ikwu na ọ dịghị onye nọ na Nigeria.
"As the federal high court has signed for the minimum wage to be thirty thousand, how many states in the East will pay it?","Ka ụlọomeiwu ukwu kwetara ka ụgwọ opekatampe bụrụ puku naira iri atọ, steeti ole n'ọwụwa anyanwụ ga-akwụ ya?","Ebe ọ bụ na ụlọikpe ukwu ahụ abịanyela aka n'akwụkwọ na a ga - akwụ puku mmadụ iri atọ ụgwọ ọnwa, ole steeti ole dị n'Ebe Ọwụwa Anyanwụ Ụwa ga - akwụ ya?"
"Saul struck the Amalekites, from Havilah as you go to Shur, which is before Egypt.","Sọl busoro ndị Amalek agha site na Havila ruo Shua, nke dị n'ọwụwa anyanwụ Ijipt.","Sọl gburu ndị Amalek, malite na Hala ka ị na - aga Sheur, bụ́ nke dị n'ihu Ijipt."
"""But the mountain falling comes to nothing. The rock is removed out of its place.","""Ma dịka ugwu si erichasi daa, na dịka a na-enupu oke nkume n'ọnọdụ ya,",""" Ma ugwu ahụ na - ada ada, a na - ekpochapụ nkume ahụ n'ọnọdụ ya."
"All the people came up after him, and the people piped with pipes, and rejoiced with great joy, so that the earth shook with their sound.","Ndị Izrel niile sooro ya rigoo, na-afụ ọja na-aṅụrịkwa oke ọnụ, ruo n'ala mara jijiji n'ihi oke ụzụ.","Ndị ahụ nile bịakwutere ya, ndị ahụ wee jiri ọṅụ dị ukwuu tie mkpu ọṅụ, nke mere ka ụwa maa jijiji site n'iti mkpu ha."
